event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
yecheon_2023,37040420,경상북도,경상북도 안동시,도산면,0,0.2852743348140168,1.0,103280820.66515894,114568
yecheon_2023,37040430,경상북도,경상북도 안동시,녹전면,0,0.31961495819525265,1.0,71573687.816217,79420
yecheon_2023,37040510,경상북도,경상북도 안동시,중구동,0,0.584647760358636,1.0,4012163.8158827582,4443
yecheon_2023,37040520,경상북도,경상북도 안동시,명륜동,0,0.27770352242386315,1.0,7730591.547502228,8574
yecheon_2023,37040540,경상북도,경상북도 안동시,용상동,0,0.42021051205937987,1.0,26710813.26086082,29642
yecheon_2023,37040560,경상북도,경상북도 안동시,태화동,0,0.7480874524724461,1.0,2369055.035850809,2630
yecheon_2023,37040580,경상북도,경상북도 안동시,평화동,0,0.47625269935331577,1.0,835226.8904003324,926
yecheon_2023,37060340,경상북도,경상북도 영주시,장수면,0,0.3461351628817568,1.0,41970456.76056376,46566
yecheon_2023,37060350,경상북도,경상북도 영주시,안정면,0,0.4089081578819094,1.0,43903921.90230268,48725
yecheon_2023,37060360,경상북도,경상북도 영주시,봉현면,0,0.42294130870949853,1.0,51977052.46318628,57692
yecheon_2023,37060370,경상북도,경상북도 영주시,순흥면,0,0.5336114558640729,1.0,54309096.74651083,60261
yecheon_2023,37060380,경상북도,경상북도 영주시,단산면,0,0.409923515028492,1.0,92265262.7478348,90607
yecheon_2023,37060390,경상북도,경상북도 영주시,부석면,0,0.2346909737790739,1.0,91837196.25670756,81320
yecheon_2023,37060510,경상북도,경상북도 영주시,상망동,0,0.3017969821640978,1.0,17079622.0581805,18954
yecheon_2023,37060530,경상북도,경상북도 영주시,하망동,0,0.48504092764632845,1.0,1324236.234142369,1466
yecheon_2023,33580120,충청북도,충청북도 단양군,매포읍,0,0.2729826519223904,1.0,66255684.276124574,21444
yecheon_2023,37520310,경상북도,경상북도 의성군,단촌면,0,0.8004498125522431,1.0,73473925.26131238,81523
yecheon_2023,37520320,경상북도,경상북도 의성군,점곡면,0,0.3898056328931177,1.0,65389615.15796783,72543
yecheon_2023,37520330,경상북도,경상북도 의성군,옥산면,0,0.5562150045537823,1.0,103570112.37641767,114909
yecheon_2023,22520111,대구광역시,대구광역시 군위군,군위읍,0,0.8316897807135111,1.0,83683259.63979402,3533
yecheon_2023,22520311,대구광역시,대구광역시 군위군,소보면,0,0.8666904987840555,1.0,99929350.00550112,37906
yecheon_2023,37060550,경상북도,경상북도 영주시,영주1동,0,0.6358362670518903,1.0,1022432.2159471278,1136
yecheon_2023,37060580,경상북도,경상북도 영주시,영주2동,0,0.8559273798987489,1.0,923285.4852779176,1019
yecheon_2023,37060590,경상북도,경상북도 영주시,휴천1동,0,0.31692017819387847,1.0,5268478.121958147,5838
yecheon_2023,37060600,경상북도,경상북도 영주시,휴천2동,0,0.7255115658301674,1.0,2021765.7531298962,2248
yecheon_2023,37060610,경상북도,경상북도 영주시,휴천3동,0,0.3860340608915859,1.0,9573027.635334,10628
yecheon_2023,37060620,경상북도,경상북도 영주시,가흥1동,0,0.3901208498780264,1.0,6497547.514445262,7199
yecheon_2023,37060630,경상북도,경상북도 영주시,가흥2동,0,0.5491746932826378,1.0,17110113.558240402,18999
chuncheon_2020,32010520,강원도,강원도 춘천시,교동,0,0.6728547577884589,1.0,538950.2599535709,599
chuncheon_2020,32010530,강원도,강원도 춘천시,조운동,0,0.8665633802682581,1.0,323570.2027730259,355
chuncheon_2020,32010540,강원도,강원도 춘천시,약사명동,0,0.8929251692428881,1.0,531022.1074065696,588
chuncheon_2020,32010570,강원도,강원도 춘천시,근화동,0,0.9606943536294269,1.0,9646391.241362551,10715
chuncheon_2020,32010580,강원도,강원도 춘천시,소양동,0,0.7832586694134647,1.0,1241287.2055950204,1384
chuncheon_2020,32010610,강원도,강원도 춘천시,후평2동,0,0.6920750011038035,1.0,721170.02895505,800
chuncheon_2020,32010620,강원도,강원도 춘천시,후평3동,0,0.6216779659186505,1.0,1059743.671185427,1180
chuncheon_2020,32010630,강원도,강원도 춘천시,효자1동,0,0.8830058928322932,1.0,457474.67076885037,509
